Frecuencia,Palabra,Significado
1,の,p. case of; in; at; for; by
2,に,p. case at; on; in; to; for
3,は,p. TOPIC
4,た,aux. PAST
5,を,p. case ACCUSATIVE
6,だ,aux. COPULA
7,が,p. case NOMINATIVE
8,て,p. conj. REASON
9,と,p. case and; or; with; if
10,ます,aux. POLITE (after verb)
11,も,"p. too, also"
12,で,p. case in; at; from; by
13,ている、てる,cp. CONTINUATION
14,です,aux. COPULA (polite)
15,れる,aux. PASSIVE
16,という、つう,"cp. called, named"
17,事,n. thing
18,えー、ええ,"interj. eh?, what?; well, yes"
19,言う,"v. say, speak, talk"
20,のです、んです,cp. ASSERTION (polite)
21,あの、あのう、あのー,"interj. Excuse me; uh, eh, um, ah, er"
22,する,v. do; make
23,まー、まあ,"interj. Wow!, Oh my God!"
24,の,p. PARTICLE
25,ある,"v. be (existence), have (possession), happen, occur"
26,ね,"p. disc. isn’t it?, don’t you?"
27,ない,aux. not
28,なる,"v. become, get; come to do, start to do; turn into"
29,か,p. disc. QUESTION
30,その,adn. that
31,けれど,"conj. though, although"
32,から,p. case from
33,よう,aux. INDUCEMENT
34,思う,"v. think, believe; feel; expect"
35,で,"conj. so, then"
36,か,p. if; or
37,が,p. conj. ADVERSATIVE
38,物,"n. thing, object, stuff"
39,そう,"adv. so, such"
40,何,pron. what; something; anything; nothing
41,と,"p. conj. if, when; with"
42,私【わたし】,pron. I
42,私【わたくし】,pron. I
42,私【あたし】,pron. I
43,てしまう,cp. end up doing ...
44,それ,pron. that
45,とか,p. and; or
46,この,adn. this
47,無い,"i-adj. There is no ... , no ..."
48,行く,v. go; come
49,のだ、んだ,cp. ASSERTION
50,せる,aux. CAUSATIVE
51,これ,pron. this
52,もう,adv. already; soon; again
53,である,cp. COPULA (formal)
54,時,n. time
55,な,p. disc. PROHIBITION
56,ず,aux. NEGATION
57,ので、んで,"p. conj. as, because, since"
58,人【ひと】,"n. person, people, human being"
59,よ,"p. disc. ASSERTION, REMINDING (informal)"
60,こう,"adv. so, like this"
61,から,"p. conj. because, since"
62,ば,p. conj. if
63,や,p. and; or
64,来る【くる】,v. come
65,その,"interj. uh, er, um, mm"
66,まで,"p. to, till, until"
67,見る,"v. see; look at, watch; check"
68,たり,p. and
69,今,n. now
70,良い、いい,i-adj. good
71,所,"n. place, point; part; aspect"
72,自分,n. oneself
73,ん,"interj. oh, mm, well"
74,あー,"interj. er, uh, um, hmm, ah, oh"
75,やはり、やっぱり,"adv. as (one) expected, still"
76,たい,"aux. want to, like to"
77,やる,v. do; make; give
78,中【なか】,"n. inside, in; into"
79,いる,"v. be, exist; stay"
80,できる,v. be ready
81,など,"p. and so on, etc."
82,として,cp. as
83,後【あと】,"n. after, later"
84,また,"[1] adv. additionally, moreover [2] conj. again; too, and"
85,ちょっと,"adv. (just) a little, a bit"
86,てくる,cp. go and ...
87,だけ,"p. only, alone, merely"
88,くらい、ぐらい,"p. about, around"
89,ではない,cp. it is not the case that ...
90,えーと,"interj. well, let me see"
91,方【ほう】,"n. direction, way; side"
92,ていく、てく,cp. go and ...
93,訳【わけ】,"n. reason, cause"
94,へ,p. case DESTINATION
95,どう,"adv. how, what"
96,し,"p. conj. and, besides"
97,本当,"n. truth, right"
98,持つ,"v. have, take, hold"
99,出る,"v. go out, come out; attend"
100,ため,n. for
101,すごい,"i-adj. fantastic, wonderful; terrible"
102,考える,v. think
103,そこ,pron. there; then
104,う,aux. SOLICITATION
105,分かる,"v. understand, see"
106,ておる,cp. CONTINUATION (polite)
107,について,"cp. about, concerning, as to"
108,それで,conj. and then; so; that is why
109,入る【はいる】,"v. enter, come in, go in"
110,作る,"v. make, create, cook"
111,てみる,cp. try ... ing
112,聞く、聴く,"v. hear; listen; listen to, obey"
113,そして,"conj. and, so"
114,てくれる,cp. [do something as a favor]
115,場合,"n. case, occasion"
116,話,"n. story, talk"
117,ながら,"p. conj. with, over, while"
118,そんな,"adn. that, such"
119,使う,"v. use, handle"
120,日本,n. Japan
121,風【ふう】,"na-adj. style, type, way, like"
122,おー,"interj. Oh, Wow!"
123,前【まえ】,n. forward; front; before
124,多い,"i-adj. many, much, a lot of"
125,のではない、んではない,cp. it is not that ...
126,よく,"adv. good, well; often"
127,一つ,n. one
128,子供,n. child
129,非常,"na-adj. very, extremely"
130,気,"n. mind, heart"
131,ても,p. conj. even if
132,取る,"v. take, get; have; pass"
133,うち,n. inside; of; before
134,知る,v. know
135,より,p. case than; from
136,それから,"conj. and then, after that, and"
137,うー,"interj. Woo, Oooh"
138,感じ,"n. feeling, impression; atmosphere"
139,みたい,na-adj. like
140,でも,"conj. but, however"
141,ここ,pron. here
142,とても、とっても,adv. very
143,いろいろ,"adv., na-adj. various"
144,一,n. one
145,そう,"n., na-adj. be about to"
146,行なう,"v. do, carry out, hold"
147,一番,"adv. number one, first, most"
148,二,n. two
149,同じ,adn. same
150,まず,adv. first; anyway
151,必要,na-adj. necessary n necessity
152,仕事（する）,"[1] n. work, job [2] v. work"
153,余り,[1] adv. the rest [2] n. (not) much
154,によって,"cp. by, because of; depend on, depending on"
155,かもしれない,"cp. perhaps, maybe"
156,僕【ぼく】,pron. I (used by male speakers)
157,皆,n. everyone; everything
158,彼【かれ】,pron. he
159,方【かた】,"n. person, man"
160,食べる,v. eat
161,ほど,p. about; extent
162,しかし,"conj. but, however"
163,書く,v. write
164,入れる,v. put in; include
165,次【つぎ】,"n. next, following, coming"
166,結構,[1] adv. quite [2] na-adj. good
167,問題,"n. problem, question"
168,例えば,"adv. for example, such as"
169,目、眼,n. eye
170,頃【ころ】,"n. time, about, when"
171,上【うえ】,n. top; above; up; on
172,てくださる,cp. [do something as a favor (honorific)]
173,他【ほか】,"n. other, another; else"
174,いつ,pron. when
175,家【いえ】,"n. house, home"
176,付く,v. stick; be stained with
177,日、陽,n. day; sun
178,出す,v. take out; pay; send
179,一人,n. one person; alone
180,人間,"n. human being, man"
181,どこ,pron. where
182,ございます（<ござる）,v. [very polite form of “de aru”]
183,時間,n. time
184,ただ,"[1] conj. just [2] adv. only, just, merely"
185,だから,"conj. so, therefore, because"
186,違う,v. be different; be wrong
187,受ける,"v. get, receive, take"
188,言葉,n. word; language
189,なんか,"p. such as, like"
190,少し,"adv. a little, a few"
191,まま,v. as it is
192,買う,adv. buy
193,まだ,"n. yet, still"
194,手,n. hand
195,話す,"v. talk, tell, speak"
196,好き,"na-adj. favorite, like, love"
197,返る,v. return
198,てもらう,cp. [receive a favor]
199,掛ける,v. hang; take; cost
200,終わる,"v. end, finish"
201,意味（する）,"[1] n. meaning, sense [2] v. mean"
202,のである,cp. ASSERTION (formal)
203,いろんな,adn. various
204,付ける,v. put; attach; apply
205,形,"n. form, shape, figure"
206,かなり,"adv. considerably, rather"
207,三【さん】,num. three
208,最初,n. first
209,間【あいだ】,n. distance; period
210,感じる,v. feel
211,しか,"p. only, just, no more than"
212,かかる,v. hang; take; cost
213,大きな,"adn. big, large, great"
214,住む,v. live
215,最近,"n. recently, lately"
216,特に,"adv. especially, particularly"
217,誰,"pron. who, whose, whom"
218,こんな,"adn. such, like that"
219,友達,n. friend
220,大きい,"i-adj. big, large, great"
221,すぐ,adv. soon
222,一緒,"n. together, with"
223,生活（する）,[1] n. life [2] v. live
224,国,n. country
225,あげる,"v. raise, lift"
226,あなた、あんた,pron. you
227,現在,"n. present time, now"
228,高い,"i-adj. high, tall; expensive"
229,なんて,p. [expresses belittlement]
230,悪い,i-adj. bad
231,気持ち,n. feeling
232,乗る,"v. ride, get on, take"
233,において,cp. at; in; on
234,見える,"v. see, be seen"
235,変わる,v. change
236,べし,"aux. must, should"
237,あるいは,"conj. or; perhaps, probably, maybe"
238,大変,"na-adj. serious, terrible; hard, difficult"
239,による,"cp. be due to, be based on"
240,会社,"n. company, firm"
241,ほとんど,"adv. almost, nearly"
242,実際,"n. actually, in fact"
243,先生,n. teacher
244,彼女,pron. she; girlfriend
245,二人,n. two people
246,心,"n. mind, heart; thought; feeling"
247,あの,"adn. that, those"
248,らしい,"aux. seem, look"
249,ある,"adn. one, a, some, a certain"
250,金【かね】,n. money
251,顔,n. face
252,ていただく,cp. [receive a favor (humble)]
253,ずっと,"adv. all the time, for a long time"
254,さらに,"adv. again, still more, moreover"
255,町、街,"n. town, city"
256,及び,"conj. and, as well as"
257,たくさん,"adv. many, much"
258,いー,"interj. good, great"
259,大体,"adv. almost, nearly"
260,もちろん,"adv. of course, needless to say"
261,読む,v. read
262,人たち,n. people
263,今日【きょう】,n. today
264,昔,"n. ancient times, in the past, once"
265,うん,"interj. yes, yeah"
266,すべて,"n. everything, all"
267,教える,"v. teach, tell"
268,子,n. child
269,ておく,"cp. do something in advance, in preparation for something"
270,に対して,"cp. to, toward; for; against"
271,ばかり,"p. only, just, almost"
272,なぜ,adv. why
273,水【みず】,n. water
274,当時,"n. then, at that time"
275,場所,"n. place, spot"
276,置く,"v. put, place; leave"
277,楽しい,"i-adj. pleasant, happy, enjoyable"
278,にとって,cp. for
279,声,n. voice
280,普通,"na-adj. normal, regular, ordinary, common"
