char,aozora_char_count,news_char_count,wiki_char_count,aozora_doc_count,news_doc_count,wiki_doc_count,total_char_count,total_doc_count,aozora_char_freq,news_char_freq,wiki_char_freq,aozora_doc_freq,news_doc_freq,wiki_doc_freq,total_char_freq,total_doc_freq
all,67805014.0,1117683.0,59301009.0,17115.0,3753.0,100000.0,128223706.0,120868.0,0.5,0.5,0.5,0.0018146990303368057,0.00803857143469116,0.005644058787161753,0.5,0.0043767482659287735
年,250982.0,24412.0,1688601.0,13889.0,3626.0,87076.0,1963995.0,104591.0,0.0018507628359165297,0.010920806704584394,0.01423754020778972,0.0014726470833974813,0.007766549433037608,0.004914620629508968,0.007658470735512823,0.003787342207050306
人,1043809.0,9804.0,430361.0,15637.0,2315.0,61384.0,1483974.0,79336.0,0.007697137264804635,0.004385858960009233,0.0036286144810790655,0.001657987072005646,0.004958511289984022,0.0034645490459113706,0.005786660073606046,0.0028728340042502997
日,446947.0,41749.0,910717.0,15036.0,3736.0,78922.0,1399413.0,97694.0,0.0032958255859957494,0.018676583610916512,0.007678764791337699,0.0015942631972038685,0.00800215904076903,0.004454404076003799,0.005456919955191437,0.003537595104507774
一,969014.0,3979.0,343651.0,16012.0,1965.0,65496.0,1316644.0,83473.0,0.007145592507362361,0.0017800217056177824,0.0028975139360613578,0.0016977482251681526,0.004208844356293133,0.0036966327432394618,0.005134167624198914,0.0030226388126044323
大,460676.0,9561.0,550182.0,14904.0,2444.0,68550.0,1020419.0,85898.0,0.0033970644117852404,0.004277151929482689,0.004638892400633521,0.0015802672712906661,0.005234817102687235,0.0038690022985993816,0.003979057507509571,0.0031104504297808336
月,139398.0,22290.0,784226.0,12169.0,3684.0,71028.0,945914.0,86881.0,0.0010279328310440288,0.009971521442126256,0.006612248368320343,0.001290275927558784,0.007890779953477811,0.00400886207534525,0.0036885301069055046,0.003146045819341412
出,588684.0,7836.0,334669.0,15088.0,3252.0,64836.0,931189.0,83176.0,0.004341006404039677,0.0035054662189547485,0.0028217816664805823,0.0015997767437757361,0.006965476766750772,0.0036593819552441943,0.003631110927335075,0.003011884152686333
中,410177.0,6784.0,355195.0,14792.0,2255.0,61804.0,772156.0,78851.0,0.0030246804461982707,0.003034849774041477,0.0029948478616948996,0.0015683919402127975,0.004829996958494155,0.00348825409281745,0.0030109720896695966,0.0028552716808150193
見,644840.0,3626.0,114532.0,15052.0,1798.0,31258.0,762998.0,48108.0,0.004755105573755946,0.001622105731231485,0.0009656834000918939,0.0015959596730721354,0.0038511461336463372,0.0017642198956910207,0.0029752610644399875,0.0017420376408751816
本,257285.0,9996.0,450514.0,13615.0,2814.0,67278.0,717795.0,83707.0,0.0018972416995592686,0.004471750934746256,0.0037985357045105255,0.0014435949341534099,0.006027322146874746,0.0037972098708266844,0.0027989949066048675,0.003031112181024753
子,448009.0,2825.0,253311.0,13575.0,1057.0,42940.0,704145.0,57572.0,0.0033036568652577815,0.0012637751491254676,0.002135806829189028,0.0014393537444827424,0.002263994139746484,0.0024235588432072568,0.0027457676196007003,0.0020847383192081556
行,383787.0,7273.0,296564.0,13848.0,2570.0,54151.0,687624.0,70569.0,0.0028300783183969258,0.0032536058971998323,0.0025004970826044462,0.0014682998639850473,0.005504697198815954,0.003056314273835961,0.002681345054868403,0.0025553723762975116
時,400604.0,7863.0,253733.0,14509.0,2406.0,51264.0,662200.0,68179.0,0.0029540883215509696,0.003517544777902142,0.0021393649473991244,0.0015383855232928257,0.005153424692743653,0.002893370296650601,0.002582205820817564,0.002468828143286543
上,408932.0,5647.0,246858.0,14682.0,2150.0,51133.0,661437.0,67965.0,0.003015499709210295,0.0025262082361456693,0.0020813979741896127,0.001556728668618462,0.004605096878386888,0.002885976579639419,0.002579230551954254,0.0024610789943893263
学,178180.0,2862.0,454522.0,8809.0,775.0,45488.0,635564.0,55072.0,0.0013139146317409506,0.001280327248423748,0.003832329395946703,0.000934015995222724,0.001659976781744111,0.0025673694611041383,0.0024783404716129482,0.001994210878820113
事,394548.0,8176.0,211361.0,13567.0,2366.0,42863.0,614085.0,58796.0,0.0029094308571339577,0.003657566590884893,0.0017821028981142631,0.001438505506548609,0.005067748471750408,0.0024192129179411424,0.0023945845084215552,0.0021290605540221414
分,422267.0,4351.0,183078.0,14055.0,1866.0,42552.0,609696.0,58473.0,0.0031138331451417444,0.0019464374066707644,0.0015436330940001375,0.001490248020530751,0.003996795709334853,0.002401659895113069,0.0023774698884463687,0.0021173644087240065
生,343042.0,4453.0,244625.0,14282.0,1613.0,51339.0,592120.0,67234.0,0.0025296211870113323,0.001992067518249808,0.0020625703012911636,0.0015143167719117883,0.0034548936115525817,0.0028976033407409722,0.002308933419846717,0.002434608770819863
来,474847.0,1444.0,82641.0,12728.0,939.0,32941.0,558932.0,46608.0,0.0035015625835576113,0.0006459792266680267,0.0006967925284374167,0.0013495465532063606,0.002011249287816413,0.0018592094050789531,0.0021795189728801008,0.001687721176642356
間,360112.0,4231.0,192406.0,14399.0,1843.0,43069.0,556749.0,59311.0,0.002655496833906708,0.0018927549224601252,0.0016222826832508028,0.0015267222516984905,0.0039475318822637375,0.0024308396790426955,0.002171006506394379,0.002147709206742078
手,351459.0,4909.0,183665.0,13599.0,1399.0,38982.0,540033.0,53980.0,0.0025916888683187944,0.0021960609582502375,0.0015485824195672624,0.0014418984582851427,0.002996525829238724,0.0022001669964113947,0.002105823551847737,0.001954668492858616
自,374194.0,2703.0,160410.0,13870.0,1249.0,39014.0,537307.0,54133.0,0.002759338712030942,0.001209197956844651,0.001352506497823671,0.0014706325183039143,0.0026752400005140573,0.002201973095223286,0.002095193692186685,0.0019602087722103644
者,293410.0,5929.0,201341.0,12720.0,1925.0,43203.0,500680.0,57848.0,0.002163630553929242,0.0026523620740406717,0.0016976186695238187,0.0013486983152722271,0.0041231681352998885,0.002438402717817492,0.0019523690884429748,0.0020947325486269956
方,357970.0,2995.0,133510.0,13951.0,1517.0,35559.0,494475.0,51027.0,0.0026397015418358296,0.00133982533509054,0.0011256975408293643,0.0014792209273870158,0.003249270681168795,0.0020069708641268476,0.0019281730946070143,0.0018477374802722602
二,389251.0,593.0,82906.0,14395.0,344.0,26894.0,472750.0,41633.0,0.0028703703239409406,0.00026528094280757605,0.0006990268917684015,0.0015262981327314237,0.0007368155005419021,0.0015179131702192819,0.0018434578704190627,0.0015075715702701513
思,435576.0,555.0,34404.0,14833.0,385.0,12797.0,470535.0,28015.0,0.003211974854838906,0.0002482814894742069,0.00029007938128000485,0.0015727391596252315,0.0008246336270599777,0.0007222702029930896,0.0018348206220150899,0.0010144504969884056
国,125869.0,7531.0,331266.0,8564.0,1934.0,58353.0,464666.0,68851.0,0.000928168822441361,0.0033690232382527067,0.0027930890686868413,0.0009080387084898862,0.004142445285023368,0.0032934776240724976,0.0018119348383207705,0.002493161919262849
部,128574.0,4168.0,320457.0,9847.0,1815.0,74233.0,453199.0,85895.0,0.0009481157248931473,0.0018645716182495394,0.00270195233946188,0.0010440748671765425,0.003887558527568466,0.004189754159473784,0.0017672200178023244,0.0031103417968523684
女,319865.0,1839.0,128625.0,10759.0,586.0,24730.0,450329.0,36075.0,0.0023587119973163045,0.0008226840705280478,0.0010845093715015877,0.0011407739916677589,0.001255156637551031,0.0013957757380651016,0.0017560286395091403,0.001306310964799455
会,123480.0,8413.0,316866.0,9324.0,2178.0,49703.0,448759.0,61205.0,0.0009105521311447558,0.003763589497200906,0.002671674608437101,0.0009886213122325665,0.004665070233082159,0.002805266538983006,0.0017499065266449248,0.002216292795580059
前,278977.0,3606.0,164807.0,13454.0,1793.0,41024.0,447390.0,56271.0,0.0020572003716421323,0.0016131586505297119,0.0013895800659985398,0.0014265241457289736,0.0038404366060221817,0.0023154186768452375,0.0017445682002047267,0.0020376278392302185
後,185027.0,5324.0,245149.0,12705.0,2340.0,52466.0,435500.0,67511.0,0.0013644049981318491,0.0023817128828120316,0.002066988438594696,0.001347107869145727,0.005012058928104799,0.0029612118832722852,0.001698203918704393,0.002444639211214858
家,280474.0,1377.0,151650.0,13134.0,662.0,35210.0,433501.0,49006.0,0.0020682393782855057,0.0006160065063170863,0.001278646034505079,0.0013925946283636346,0.0014179414574381952,0.0019872730989596533,0.0016904089482486179,0.0017745550974625666
立,247680.0,2399.0,181665.0,13403.0,1126.0,43787.0,431744.0,58316.0,0.0018264136041620757,0.001073202330177698,0.0015317193000881318,0.0014211166288988727,0.0024117856209598305,0.0024713640211345166,0.0016835576410496199,0.0021116792854676374
地,166795.0,5313.0,258953.0,11782.0,1647.0,47172.0,431061.0,60601.0,0.0012299606633810296,0.0023767919884260563,0.002183377689239655,0.001249242417495077,0.0035277183993968394,0.0026624154110799422,0.001680894326981939,0.002194421365982308
彼,376050.0,94.0,54326.0,9625.0,65.0,12555.0,430470.0,22245.0,0.0027730250155246633,4.205127929833414e-05,0.00045805291441162495,0.0010205362645043386,0.0001392238591140222,0.0007086115807281581,0.001678589760929231,0.0008055131645728032
作,125904.0,1571.0,299009.0,10510.0,703.0,42756.0,426484.0,53969.0,0.0009284269154490551,0.0007027931891242866,0.0025211122461676833,0.0011143725859678543,0.0015057595839562709,0.0024131737750388792,0.001663046613237025,0.001954270172120909
合,180836.0,4502.0,238253.0,12820.0,1720.0,50882.0,423591.0,65422.0,0.001333500203981965,0.0020139878659691524,0.0020088444026306533,0.0013593012894488957,0.0036840775027095103,0.002871809992083643,0.0016517655479400977,0.0023689944820266097
何,404076.0,232.0,19256.0,13849.0,198.0,9467.0,423564.0,23514.0,0.0029796911479142234,0.00010378613614056937,0.00016235811434506958,0.001468405893726814,0.00042409729391655994,0.0005343230453806032,0.001651660263196573,0.0008514648933137737
三,301561.0,1156.0,117481.0,13565.0,534.0,29724.0,420198.0,43823.0,0.002223736728378229,0.0005171412645624922,0.000990548069763872,0.0014382934470650755,0.001143777550259813,0.0016776400338959594,0.0016385347651704904,0.0015868736080500766
下,267480.0,2503.0,149632.0,13042.0,1310.0,41788.0,419615.0,56140.0,0.0019724205056575904,0.0011197271498269187,0.0012616311469506362,0.0013828398921210995,0.002805896237528755,0.0023585392859791533,0.0016362613945973454,0.002032884201353885
私,395872.0,319.0,17900.0,11135.0,174.0,8319.0,414091.0,19628.0,0.0029191941469107283,0.00014270593719328288,0.00015092491933821903,0.0011806411745720322,0.0003726915613206133,0.0004695292505039862,0.0016147209159591753,0.0007107490399746001
言,338782.0,1055.0,73931.0,12361.0,594.0,21557.0,413768.0,34512.0,0.002498207580931994,0.0004719585070185375,0.0006233536431058028,0.0013106336379779873,0.0012722918817496798,0.001216689752748459,0.001613461398471824,0.0012497132090688507
気,321277.0,2407.0,80108.0,12262.0,854.0,21550.0,403792.0,34666.0,0.0023691242066552778,0.0010767811624584074,0.0006754353876170978,0.0013001366935430855,0.0018291873182057685,0.0012162946686333578,0.00157456063545691,0.0012552896993967542
小,238325.0,1762.0,161989.0,13309.0,687.0,37558.0,402076.0,51554.0,0.001757429030248412,0.0007882378098262208,0.0013658199306524448,0.0014111498331728044,0.0014714890955589731,0.0021197955992822114,0.0015678692050906718,0.0018668206647060597
物,250287.0,1112.0,148802.0,13098.0,559.0,38154.0,400201.0,51811.0,0.0018456378461923185,0.0004974576870185912,0.001254632952366797,0.001388777557660034,0.0011973251883805908,0.002153434189653695,0.0015605577645681212,0.0018761268855779503
的,227159.0,1718.0,166242.0,10460.0,1011.0,36250.0,395119.0,47721.0,0.0016750899867080625,0.0007685542322823197,0.001401679354224816,0.0011090710988795201,0.002165466485604253,0.0020459713103461352,0.0015407408361758003,0.0017280239931031127
山,185269.0,2693.0,200431.0,10881.0,838.0,35151.0,388393.0,46870.0,0.0013661895269279055,0.0012047244164937643,0.0016899459501608144,0.0011537096201632944,0.0017949168298084708,0.001983943104275228,0.0015145132367333073,0.0016972084523950229
場,135484.0,3960.0,246010.0,11434.0,1490.0,45338.0,385454.0,58262.0,0.0009990706586978952,0.001771521978951098,0.0020742480115304614,0.0012123440673602708,0.003191439231998355,0.0025589033729233957,0.0015030527974288935,0.0021097238927552556
同,161267.0,6441.0,201356.0,12267.0,2386.0,49926.0,369064.0,64579.0,0.0011891967163372313,0.002881407340006066,0.0016977451429199123,0.001300666842251919,0.00511058658224703,0.002817852790078377,0.001439141058674439,0.0023384686291277614
代,139017.0,2149.0,224396.0,10877.0,1046.0,50395.0,365562.0,62318.0,0.0010251233043031302,0.0009613638214055327,0.001892008279319497,0.0011532855011962275,0.002240433178973342,0.0028443234257901654,0.0014254852374957873,0.0022565956120408157
目,183165.0,2554.0,175338.0,12769.0,1290.0,59768.0,361057.0,73827.0,0.0013506744501225233,0.0011425422056164404,0.001478372821615902,0.0013538937726187946,0.0027630581270321327,0.0033733410559108365,0.0014079182830669392,0.0026733477366112086
入,197921.0,2849.0,157250.0,12401.0,1372.0,42927.0,358020.0,56700.0,0.0014594864621663526,0.0012745116459675955,0.0013258627690466446,0.0013148748276486549,0.002938694380068284,0.0024228251155649257,0.00139607569913788,0.0020531623480008064
長,147602.0,4377.0,205015.0,11299.0,1475.0,43403.0,356994.0,56177.0,0.001088429832047524,0.0019580686115830697,0.0017285962200069816,0.0011980300522217685,0.0031593106491258883,0.0024496908353918156,0.0013920748788839405,0.002034224007471628
田,120908.0,3152.0,226000.0,9401.0,1005.0,35468.0,350060.0,45874.0,0.0008915859821222071,0.0014100599185994597,0.0019055325011417597,0.0009967856023486012,0.0021526150524552663,0.0020018347706305304,0.0013650361969728124,0.0016611423201444268
名,131232.0,2316.0,209833.0,10752.0,997.0,52032.0,343381.0,63781.0,0.0009677160453060301,0.001036071945265339,0.0017692194748322072,0.0011400317834753919,0.0021354798082566175,0.0029367166681360034,0.0013389918709727513,0.0023095722701558983
所,156154.0,2524.0,171662.0,11622.0,1153.0,43050.0,330340.0,55825.0,0.0011514930149560917,0.0011291215845637807,0.00144737840801326,0.0012322776588124076,0.002469617070130271,0.0024297673078731347,0.0012881393398503083,0.0020214777438649916
